INSTNM,ADDR,CITY,STABBR,ZIP,CHFNM,CHFTITLE,GENTELE,WEBADDR,APPLURL,LONGITUD,LATITUDE
Santa Fe College,3000 Northwest 83rd Street,Gainesville,FL,32606-6210,Jackson N. Sasser,President,3523955000,www.sfcollege.edu,https://ss2.sfcollege.edu/eSantaFe?hptAppId=SR1060E&hptExec=Y&hptRecord=SR1060UI1,-82.433958,29.680698
Sarasota County Technical Institute,4748 Beneva Rd,Sarasota,FL,34233-1798,Dr. Todd Bowden,Director,9419241365,www.scti.edu, ,-82.500827,27.285486
Argosy University-Sarasota,5250 17th Street,Sarasota,FL,34235,Sandra Wise,Campus President,9413790404,www.argosy.edu/sarasota/,www.argosy.edu/admissions,-82.465363,27.351394
Seminole State College of Florida,100 Weldon Blvd,Sanford,FL,32773-6199,E Ann McGee,President,4077084722,www.seminolestate.edu/,www.seminolestate.edu/apply,-81.305606,28.74475
Sheridan Technical Center,5400 Sheridan St,Hollywood,FL,33021,D. Robert Boegli,Director,7543215400,www.SheridanTechnical.com, ,-80.198024,26.031736
Saint John Vianney College Seminary,2900 SW 87th Ave,Miami,FL,33165-3244,Roberto Garza,President Rector,3.05223E+12,sjvcs.edu, ,-80.337411,25.742579
Saint Johns River State College,5001 Saint Johns Ave,Palatka,FL,32177,Joe H. Pickens,President,3863124200,www.sjrstate.edu,https://web.sjrstate.edu/pls/prod/bwskalog.P_DispLoginNon,-81.681137,29.647195
South Florida State College,600 W College Dr,Avon Park,FL,33825-9356,Dr. Thomas C. Leitzel,President,8634536661,www.southflorida.edu,www.southflorida.edu/student/services/admissions/,-81.508387,27.569553
University of South Florida-Main Campus,4202 East Fowler Ave,Tampa,FL,33620-9951,Dr. Judy Genshaft,President,8139742011,www.usf.edu,secure.vzcollegeapp.com/usf/,-82.415876,28.056647
St Thomas University,16401 NW 37th Ave,Miami Gardens,FL,33054-6459,Monsignor Franklyn M. Casale,President,3056256000,www.stu.edu,www.stu.edu/www.stu.edu/Admissions/Undergraduate/tabid/101/ApplyNow/tabid/103/Default.aspx,-80.256265,25.920915
Stenotype Institute of Jacksonville Inc-Jacksonville,3563 Phillips Highway Building E Suite 501,Jacksonville,FL,32207,Jennifer Turner,Executive Director,9043984141,www.stenotype.edu,www.stenotype.edu,-81.635062,30.289644
Stetson University,421 N Woodland Blvd,DeLand,FL,32723,Wendy B. Libby,President,3868227000,www.stetson.edu,www.stetson.edu/administration/admissions/apply/,-81.301604,29.036295
Southeastern University,1000 Longfellow Blvd,Lakeland,FL,33801-6034,Kent Ingle,President,8636675000,www.seu.edu/,www.seu.edu/apply/,-81.918997,28.031864
Benes International School of Beauty,7027 US Hwy 19,New Port Richey,FL,34652,Patrick Bene,Director,7278488415,https://www.bisbschoolfl.com/,www.bisbschoolfl.com/,-82.72846,28.261074
Suwannee-Hamilton Technical Center,415 SW Pinewood Dr,Live Oak,FL,32064,Walter Boatright,"Principal, Director of CTE",3866474200,suwannee.shtc.schooldesk.net/, ,-82.991356,30.2839
Tallahassee Community College,444 Appleyard Dr,Tallahassee,FL,32304-2895,Jim Murdaugh,President,8502016200,https://www.tcc.fl.edu,https://eaglenet1.tcc.fl.edu/student/applogon.jsp,-84.341462,30.445234
Talmudic College of Florida,4000 Alton Rd,Miami Beach,FL,33140-3854,Yitzchok Zweig,Executive  President,3055347050,www.talmudicu.edu,www.talmudicu.edu/ep_admissions.php,-80.141334,25.7949
Everest University-Tampa,3319 W Hillsborough Ave,Tampa,FL,33614,Thomas  Barlow,President,8.1388E+12,www.everest.edu/campus/tampa, ,-82.497616,27.996582
Everest University-Largo,1199 East Bay Drive,Largo,FL,33770-2556,Heidi Simos,Campus President,7277252688,www.everest.edu/campus/largo, ,-82.775886,27.915296
The University of Tampa,401 W Kennedy Blvd,Tampa,FL,33606-1490,Ronald L Vaughn,President,8132533333,www.ut.edu,spartanweb.ut.edu/utadmapp/,-82.465582,27.947225
Taylor Technical Institute,3233 South Byron Butler Parkway,Perry,FL,32348,Judy Johnson,Director,8508382545,www.taylortech.org, ,-83.565783,30.077954
Tom P Haney Technical Center,3016 Hwy 77,Panama City,FL,32405,Michael Heptinstall,Director,8507675500,www.bayschools.com/htc,www.bayschools.com/Portals/35/haney_application.pdf,-85.646585,30.203363
Trinity Baptist College,800 Hammond Blvd,Jacksonville,FL,32221,"Mac Heavener, Jr.",President,9045962400,www.tbc.edu, ,-81.705655,30.323755
Trinity College of Florida,2430 Welbilt Boulevard,Trinity,FL,34655-4401,Mark T. O'Farrell,President,7.27377E+12,trinitycollege.edu,trinitycollege.edu,-82.677065,28.194222
Fashion Focus Hair Academy,2184 Gulf Gate Dr,Sarasota,FL,34231-4813,Byron Weintraub,Chief Executive Officer,9419214877,www.fashionfocusacad.com, ,-82.517388,27.258911
Valencia College,190 South Orange Avenue,Orlando,FL,32801,"Sanford C Shugart, Ph.D.",President,4072992187,valenciacollege.edu,valenciacollege.edu/admissions-records/steps.cfm#1,-81.464168,28.522646
Warner University,13895 Hwy 27,Lake Wales,FL,33859-8797,Gregory V Hall,President,8636381426,www.warner.edu, ,-81.599972,27.825751
Washington-Holmes Technical Center,757 Hoyt Street,Chipley,FL,32428-1618,Martha Compton,Director,8506381180,whtc.us,whtc.us,-85.553345,30.77449
Webber International University,1201 N Scenic Hwy,Babson Park,FL,33827-0096,Keith Wade,President,8636381431,www.webber.edu,https://www.applyweb.com/apply/webber/menu.html,-81.532325,27.838798
Rasmussen College-Florida,4755 Southwest 46th Court,Ocala,FL,34474-6226,Kristi Waite,President,3526291941,rasmussen.edu,rasmussen.edu,-82.19842,29.14081
The University of West Florida,11000 University Parkway,Pensacola,FL,32514-5750,Dr. Judy Bense,President,8504742000,uwf.edu,uwf.edu/apply/,-87.218125,30.542855
Westside Tech,955 E Story Rd,Winter Garden,FL,34787-3733,Anita Gentz,Senior Director,4079052018,www.ocpstechcenters.net/WestsideTech/Pages/default.aspx,campusportal.ocps.net,-81.571532,28.559574
William T McFatter Technical Center,6500 Nova Drive,Davie,FL,33317,Jeanette Johnson,Director,7543215700,www.mcfattertech.com, ,-80.232201,26.085022
Winter Park Tech,901 Webster Ave,Winter Park,FL,32789,Sandra Jewell,Senior Director,4076222900,www.wpt.ocps.net, ,-81.36174,28.604386
Withlacoochee Technical Institute,1201 W Main St,Inverness,FL,34450-4696,Denise Willis,Director,3527262430,www.wtionline.cc,www.wtionline.cc,-82.345563,28.834861
Abraham Baldwin Agricultural College,2802 Moore Hwy,Tifton,GA,31793-2601,David C. Bridges,President,2293915001,www.abac.edu,https://secure.gacollege411.org/applications/USG_Common_App_Short/apply.html?application_id=3374,-83.528281,31.481889
Agnes Scott College,141 E. College Ave,Decatur,GA,30030-3797,Elizabeth Kiss,President,4044716000,www.agnesscott.edu,www.agnesscott.edu/admission/undergraduate/apply,-84.29563,33.769996
Interactive College of Technology-Chamblee,5303 New Peachtree Rd,Chamblee,GA,30341,Elmer R Smith,President,7702162960,www.ict.edu,ict.edu/chamblee-college-in-atlanta/,-84.301964,33.889452
Interactive College of Technology-Morrow,1580 Southlake Parkway  Suite C,Morrow,GA,30260,Elmer R. Smith,President,7709601298,ict.edu,ict.edu/morrow-technical-colleges-in-atlanta/,-84.336098,33.57233
Albany Technical College,1704 South Slappey Boulevard,Albany,GA,31701,Anthony O Parker,President,2294303500,www.albanytech.edu, ,-84.174284,31.55434
Darton State College,2400 Gillionville Rd,Albany,GA,31707-3098,Dr. Peter J. Sireno,President,2293176000,www.darton.edu,https://secure.gacollege411.org/Applications/USG_Common_App_Short/apply.html?application_id=3218,-84.212087,31.583594
Albany State University,504 College Dr.,Albany,GA,31705,Everette J. Freeman,President,2294304600,www.asurams.edu/,https://secure.gacollege411.org/Applications/USG_Common_App_Short/apply.html?application_id=2871,-84.14306,31.571395
Andrew College,501College St,Cuthbert,GA,39840-5550,David C. Seyle,President,2297322171,www.andrewcollege.edu,www.andrewcollege.edu/apply-now,-84.795021,31.772321
Armstrong Atlantic State University,11935 Abercorn St,Savannah,GA,31419-1997,Linda Bleicken,President,9123442806,www.armstrong.edu, ,-81.160409,31.978109
The Art Institute of Atlanta,"6600 Peachtree Dunwoody Rd., 100 Embassy Row",Atlanta,GA,30328-1635,Newton Myvett,President,7703948300,www.artinstitutes.edu/atlanta,www.applyweb.com/apply/aia,-84.354867,33.937445
Georgia Career Institute,900 Flat Shoals Road SE,Conyers,GA,30094,Cory Erks,Corp Business Manager,7709227653,gci.edu/,gci.edu/#,-84.015071,33.642805
Atlanta Technical College,1560 Metropolitan Pky SW,Atlanta,GA,30310-4446,"Alvetta P. Thomas, Ed.D.",President,4042254400,www.atlantatech.edu/,www.atlantatech.edu/admissions/application.php,-84.404995,33.712009
Point University,507 West 10th Street,West Point,GA,31833,Dean C. Collins,President,7063851000,www.point.edu,www.point.edu,-85.184285,32.879467
Atlanta Metropolitan State College,"1630 Metropolitan Parkway, SW",Atlanta,GA,30310-4498,Dr. Gary McGaha,President,4047564000,www.atlm.edu,www.gacollege411.org/Applications/USG_Common_App_Short/apply.html?application_id=2874,-84.404659,33.70893
Atlanta's John Marshall Law School,1422 W Peachtree St NW,Atlanta,GA,30309,Richardson Lynn,Dean,4048723593,www.johnmarshall.edu,os.lsac.org/Release/Logon/Access.aspx,-84.38777,33.793388
Atlanta School of Massage,2 Dunwoody Park South,Atlanta,GA,30338,leticia allen,Owner,7704547167,www.atlantaschoolofmassage.com,https://www.atlantaschoolofmassage.com/app1.asp,-84.29844,33.927829
Clark Atlanta University,"223 James P Brawley Drive, S.W.",Atlanta,GA,30314-4391,Dr. Carlton E. Brown,President,4048808000,www.cau.edu,www.cau.edu/Apply_to_CAU.aspx,-84.412818,33.748772
Augusta Technical College,3200 Augusta Tech Drive,Augusta,GA,30906,Terry Elam,President,7067714000,www.augustatech.edu,www.augustatech.edu/,-82.048439,33.418992
Augusta State University,2500 Walton Way,Augusta,GA,309042200, , , , , ,-82.02195,33.476464
Bainbridge State College,2500 E Shotwell St,Bainbridge,GA,39819,Richard Carvajal,President,8668251715,www.bainbridge.edu,ares.bainbridge.edu/student/admi_reco/apply_online.htm,-84.535049,30.899474
Bauder College,"384 Northyards Blvd., Suite 190",Atlanta,GA,30313,Carolyn Nordstrom,Interim President,4042377573,www.bauder.edu/, ,-84.399724,33.767494
Beauty College of America,1171 Main Street,Forest Park,GA,30297-1443,Joy M Carey,Chief Executive Officer / Owner,4043614098, , ,-84.351999,33.618673
Berry College,2277 Martha Berry Hwy NW,Mount Berry,GA,30149,Stephen Briggs,President,7062325374,www.berry.edu,www.berry.edu/admissions/apply/,-85.189077,34.289254
